,titleId,title,region,titleType,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre1,genre2,genre3
135635,tt0035423,Kate and Leopold,US,movie,Kate & Leopold,2001,118,6.4,81868,Comedy,Fantasy,Romance
445328,tt0069049,The Other Side of the Wind,US,movie,The Other Side of the Wind,2018,122,6.8,6913,Drama,,
691475,tt0097775,The Master,US,movie,Long hang tian xia,1992,92,5.8,2735,Action,Comedy,Crime
693736,tt0098063,Paprika,US,movie,Paprika,1991,99,5.6,3729,Drama,,
703977,tt0099312,Cover-Up,US,movie,Cover-Up,1991,91,4.4,1370,Action,Thriller,
705924,tt0099524,Evil Toons,US,movie,Evil Toons,1992,90,4.0,2752,Animation,Comedy,Fantasy
706189,tt0099558,Operation Condor,US,movie,Fei ying gai wak,1991,106,7.3,19834,Action,Adventure,Comedy
706514,tt0099587,Flight of the Intruder,US,movie,Flight of the Intruder,1991,115,5.8,6842,Action,Drama,Thriller
709625,tt0099935,Killer Tomatoes Strike Back!,US,movie,Killer Tomatoes Strike Back!,1991,87,3.8,1591,Comedy,,
710416,tt0100047,Legend of the Dragon,US,movie,Lung dik chuen yan,1991,96,6.4,1016,Action,Comedy,
711404,tt0100152,Mindwarp,US,movie,Mindwarp,1991,91,5.3,2429,Horror,Sci-Fi,Thriller
712756,tt0100303,Operation Corned Beef,US,movie,L'opération Corned Beef,1991,105,6.1,2663,Action,Comedy,Romance
713199,tt0100369,The Pit & the Pendulum,US,movie,The Pit and the Pendulum,1991,97,6.0,4634,Horror,Romance,
714404,tt0100491,Riff-Raff,US,movie,Riff-Raff,1991,95,7.1,4416,Comedy,Drama,
714524,tt0100504,Rock 'n' Roll High School Forever,US,movie,Rock 'n' Roll High School Forever,1991,95,4.9,1182,Comedy,Music,
715040,tt0100581,The Devil's Daughter,US,movie,La setta,1991,125,6.2,2688,Horror,,
717366,tt0100881,Voices from Beyond,US,movie,Voci dal profondo,1994,91,5.1,1135,Horror,Mystery,Thriller
718012,tt0100963,King of Beggars,US,movie,Mo jong yuen So Hak Yee,1992,101,6.9,3590,Action,Comedy,Drama
718113,tt0100975,Xtro 2: The Second Encounter,US,movie,Xtro II: The Second Encounter,1991,92,3.4,1656,Action,Horror,Sci-Fi
718359,tt0101004,Zandalee,US,movie,Zandalee,1991,100,4.4,3687,Drama,Romance,Thriller
718466,tt0101020,Once a Thief,US,movie,Chung hang sei hoi,1991,108,6.8,6291,Action,Comedy,Crime
719795,tt0101252,29th Street,US,movie,29th Street,1991,101,7.3,2803,Comedy,Drama,
719835,tt0101256,976-Evil II,US,movie,976-Evil II,1991,93,4.3,1678,Horror,,
719984,tt0101272,The Addams Family,US,movie,The Addams Family,1991,99,6.9,146418,Comedy,Fantasy,
720008,tt0101273,The Adjuster,US,movie,The Adjuster,1991,102,6.7,3374,Comedy,Drama,
720033,tt0101276,Afraid of the Dark,US,movie,Afraid of the Dark,1991,91,5.8,1153,Drama,Fantasy,Horror
720063,tt0101279,The Stranger,US,movie,Agantuk,1991,120,8.1,3707,Drama,,
720099,tt0101283,Prodigy,US,movie,Ajooba,1991,178,5.3,1269,Action,Adventure,Comedy
720183,tt0101301,All I Want for Christmas,US,movie,All I Want for Christmas,1991,92,6.0,4779,Comedy,Family,Romance
720245,tt0101309,Alligator II: The Mutation,US,movie,Alligator II: The Mutation,1991,92,3.8,2206,Horror,Sci-Fi,
720281,tt0101316,The Lover,US,movie,L'amant,1992,115,6.9,20348,Biography,Drama,Romance
720300,tt0101317,Lovers: A True Story,US,movie,Amantes,1991,103,7.0,2929,Crime,Drama,Romance
720312,tt0101318,The Lovers on the Bridge,US,movie,Les amants du Pont-Neuf,1991,125,7.6,13565,Drama,Romance,
